document,field,category,why,legible_rows
open-datasets-and-photos-054.jpg,tax,IMAGE_QUALITY_FAILURE,only 3 word rows carry characters,3
open-datasets-and-photos-054.jpg,net,IMAGE_QUALITY_FAILURE,only 3 word rows carry characters,3
open-datasets-and-photos-054.jpg,party,IMAGE_QUALITY_FAILURE,only 3 word rows carry characters,3
open-datasets-and-photos-054.jpg,date,IMAGE_QUALITY_FAILURE,only 3 word rows carry characters,3
open-datasets-and-photos-055.jpg,total,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-055.jpg,tax,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-055.jpg,net,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-055.jpg,party,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-055.jpg,date,IMAGE_QUALITY_FAILURE,only 0 word rows carry characters,0
open-datasets-and-photos-056.jpg,total,WRONG_FIELD_FAMILY,only date labels are on this page,106
open-datasets-and-photos-056.jpg,tax,WRONG_FIELD_FAMILY,only date labels are on this page,106
open-datasets-and-photos-056.jpg,net,WRONG_FIELD_FAMILY,only date labels are on this page,106
open-datasets-and-photos-056.jpg,party,UNKNOWN_LABEL,"page says 'FROM', not in the vocabulary",106
open-datasets-and-photos-056.jpg,date,LABEL_NORMALIZATION_FAILURE,page contains 'DATE' and the matcher refused it,106
open-datasets-and-photos-057.jpg,total,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,22
open-datasets-and-photos-057.jpg,tax,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,22
open-datasets-and-photos-057.jpg,net,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,22
open-datasets-and-photos-057.jpg,party,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,22
open-datasets-and-photos-057.jpg,date,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,22
open-datasets-and-photos-058.jpg,total,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,11
open-datasets-and-photos-058.jpg,tax,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,11
open-datasets-and-photos-058.jpg,net,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,11
open-datasets-and-photos-058.jpg,party,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,11
open-datasets-and-photos-058.jpg,date,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,11
open-datasets-and-photos-059.jpg,total,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,13
open-datasets-and-photos-059.jpg,tax,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,13
open-datasets-and-photos-059.jpg,net,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,13
open-datasets-and-photos-059.jpg,party,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,13
open-datasets-and-photos-059.jpg,date,NO_LABEL_ON_PAGE,no label and no synonym for this field anywhere,13
